video_id,title,number_comments
-1qaKpAQDW0,Breaking: Coronavirus Is Bioweapon For Population Control,246
-WFa4bHC0Do,The Depopulation Agenda - Bill Gates Plan to Kill You,304
-_ZpU0kHXLs,BENJAMIN FULFORD = The Khazarian mob uses virus fear in a desperate attempt to keep control,48
-hG6DzJ-c-c,What Happened RIGHT Before The Coronavirus Outbreak Is KEY!!! It Explains Everything!,673
0jmhj-vnl5E,Is Wuhan virus a hit job? A whodunit not to miss. Uriah Heep  our Sherlock Holmes solves the case!,114
1CM2z3Od9yo,CONSPIRACY || Corona Virus : A biochemical weapon against China?!,35
1cWvGnF6_dw,The Book that Predicted the Wuhan Coronavirus: Is the COVID-19 a Biological Weapon?,52
1k9LE5az_iY,Bill Gates - Microchip Vaccine Implants to fight Coronavirus,1432
22kyIs2eTZo,Coronavirus Analysis Points to BioWeapon  BioAcoustic Solutions Exist w/ Sharry Edwards,260
3DAI3c9wE0Q,Prof. Francis Boyle  Update on Coronavirus Bioweapon |Travel restriction,1198
3i0xz0X2V9s,40 Years Ago  A Novel Predicted The Coronavirus Outbreak; Called It Wuhan-400?,949
3rwyZHVSy_E,CORONA HOAX AND 5G LED IMMUNE SUPPRESSOR WEAPON,116
4G1LTpm1pkw,God says  Coronavirus is NOT!  2020  by Warren David Horak,164
4tD0w86MTuA,US BIOWARFARE   Controlling speech   Event 201 Part 4,34
5QbqMh_dQfU,Chinese Canadian Scientist Spied and Shipped Coronavirus to China 🇨🇳,32
5ZC0NOljRWQ,Police State Contagion: US Plan to Use Bioweapons to Impose Martial Law One Quarantine at a Time,174
5cR_Y_TOGRI,Is CoVid-19 natural or man-made? Coronavirus a Dr Strangelove creation? Dr Chris Busby on 2019-nCoV,21
5snzKNXP-S8,Francis Boyle Coronavirus Wuhan Biological Weapon The Truth Interview,143
5yI-TU6ben4,Coronavirus: China's Monstrous Deep State Disaster [Part 2],502
7Ei1HUb1wrw,These Are The FACTS You NEED To Know:  #Event201  #CoronaVirus  China  Bill Gates & World War III,74
89P5xVOsozg,Why Coronavirus Has Me VERY Scared,47
9I1d7v584N0,Is Coronavirus THE End Time Plague?,104
ANWVAGuCiaE,Chinese Coronavirus Has HIV Insertions Stoking Fears of Bioweapon,26
DL0HM2jxrGc,CORONA JUST ONE MORE - DECEPTION  WWW.SAVEUSNOW.ORG.UK,57
DWcj_FU5N0U,The Truth Behind CoronaVirus and Why it was created- Bioweapon.  Do Bill Gates and Soros Involved?,33
DZmGXkluNiU,Latest. Corona Virus. Dudd or Deadly? Strange times indeed,29
EZaJUSOeBcE,TRUTH ABOUT CO2 SCAM 5G LED A GENOCIDAL AGENDA,61
FEP0yI8L4zY,More Evidence Emerges Suggesting The Recent Coronavirus Was Man-Made,113
FXi_eHst-p4,TRUTH ABOUT 2019-nCoV WUHAN CORONAVIRUS OUTBREAK | BIOWEAPON FOR MEDICAL MARTIAL LAW,21
F_TPjbu4FAE,US Biowarfare Act Author: Studies Confirm Coronavirus Weaponized!,377
GOSj69wkMiA,Coronavirus A Bioweapon? White House Investigates  As Military Sets Up Quarantine Sites Across U.S.,56
GVtlknjTgXk,Dr. Francis Boyle - Coronavirus is a Bioweapon 26FEB20,233
HA4BdsuG88g,Coronavirus And Market Crash: The Mother Of All (Man-made) Crises,290
IjdosTdoPhM,Coronavirus HIV Inserts Found At 4 Places,23
JQisuzuAwMQ,#CAPSPlannedPandemic: P4 Lab China  Guliani  Trial Day 4 #March4Life,335
JrsGwwV4x68,Coronavirus  Bioweapon Unleashed  Who Did It  What Are Motives,143
JxycO4JeP00,Live #3 with Professor Hamamoto: Coronavirus  China and Bio-weapons,103
KU7O4dgZcw0,MSM Now Openly Considering Coronavirus As Possible Bioweapon  As CDC Admits Its Tests May Not Work,82
L5rEmaYv6KY,Francis Boyle Coronavirus Boris Johnson Herd Immunity Genocide Interview,93
L92UHcHHXAI,Corona Virus,56
LFQo20mKexM,More Evidence This Is A Man-Made Coronavirus  Israel Bombs Gaza & The Lie Of The Century Implodes,182
Lj-rxmTSj_0,Even More Evidence Emerges Showing COVID-19 Started In The US  Not China,189
MFEDX7y-RRo,5G can be used to mutate the CoronaVirus RNA  increasing lethality of pandemic: Radio Engineer,46
MWZsHdL1eQs,CORONA AND THE GREEN AGENDA GENOCIDE PLAN - WAKE UP,75
N3yQm8dYcRY,A Special Presentation:  The True Origin Of COVID-19,28
NR1gAHX49ZY,Breaking: Secret Court Covering Up The Truth About Coronavirus,380
OLDsP1BrbDU,How Far Are THEY Willing To Go To STOP The AWAKENING?,666
OUrOxAK4cOU,Pulling Back The Curtain On Coronavirus (What’s Really Going On?),70
PO1JUI80KvY,Coronavirus Vaccine is the Mark of the Beast,369
PWVxWK9J41E,SICKENING! Coronavirus Gaming Predictive Programming | Umbrella Corp.+ Zombie Connection,95
PZbVPGZuto8,Coronavirus Is Stage One Of 'Lockstep',145
PdgVHRBxKSk,[My secret terrius] My secret terrius ep 10 2018 mentions the corona virus,100
RpdxTRpHSYQ,Cov-19 Back2Human Edition by Nicholson1968,115
RsZWgNN-YBY,Coronavirus outbreak was planned back in 2010 review by Dr Paul Cottrell,250
S5_xJjodVeQ,Not like coronavirus  seems weaponized for high contagion & fatality Rates w/Toxicologist Dr. Joe,203
SpPcgKaJ_E4,Amir Tsarfati: The Satanic Plot to Reduce Earth's Population,529
TAuSqojP_5c,Producer Del Bigtree Blows Open Big Pharmas Role In Coronavirus Cover-up! Here's What They Can't Say,778
THUW0jj3TAw,#Wow! China did this to the world. #Covid19 #CoronaVirus #PleaseShare #BioWarfare,123
UyNaRtB2P_I,CoronaVirus Energy Update & Guidance,491
W-DfigOhr-k,The source of the initial coronavirus now under question ... was it man made?,105
Wjq587LMlTE,Busted!!! Planned Global Pandemic EVENT 2020 COVID-19!,153
X3kRUdoZegw,New World Order Moving to the Next Step: JFK Edit by Nicholson1968,68
Xpuur6aPgxo,Netanyahu Admits Meddling In US Politics  Israel Attacks Syria & More On Coronavirus As A Bioweapon,99
Y0Gvv7axvus,#Coronavirus Is More of a Man-Made Disaster. Tyranny Worse than Virus! 「#武汉肺炎 是人祸 他们的愚蠢 绝不能让我们承担！」,31
YGJOVGxuXqA,DEBORAH TAVARES ~ Illuminati Global Agenda & Smart Directed Energy Weapons [Age Of Truth TV] [HD],310
YHxbBDIeJFY,2019 China Wuhan Coronavirus Covid-19 & (BSL-4) Biotech Warfare Labs & Cover-up  with Dr. Boyle,45
ZdOLAKh0frE,URGENT: CoVid 19 Frequency Solutions Found  Not a Typical Virus w/ Sharry Edwards & James Marshall,237
_3npYOp5UmU,Francis Boyle ~  Wuhan Coronavirus is an Offensive Biological Warfare Weapon,64
_Leq4nj_WBo,Do Bill Gates have something to do with CoronaVirus? And how Donald Trump Fighting the Elite!,465
_OJcrttImdo,Australia Traces 80% Of Coronavirus Cases Back To The US & The Fed Merging With The Treasury,215
_sqoCkRA_ag,Pastor Sandy to the S4C family regarding the Corona Virus,1268
abevOdBiPSQ,Walter Veith & Martin Smith - Coronavirus  Noahide Laws  End Time - What's Up Prof? 3,555
aslcI2pieuo,Is Coronavirus a Deep State Bioweapon attack on China planned in 2005?,52
bR5UWEz8Tcc,Etienne Charland – Coronavirus - Planet Liberation Status,79
bpQFCcSI0pU,I Found The Source of the Coronavirus,5805
cHYk3gJU9Sc,CORONA VIRUS: IS IT REAL OR FAKE? AND WHY IS THIS HAPPENING?,639
dTddXYOkcL4,Interview: Author of US BioWeapons Act Believes The WHO & China Are Lying About The Coronavirus,117
eXGApCYeUa8,Zion Lexx : Is The Covid-19 Man Made Or Engineered?,128
fC0C97klcmc,MARK OF THE BEAST: Bill Gates Wants Every Person On Earth To Receive A Vaccination with DIGITAL ID,1568
fTDWg-nftHQ,Coronavirus Update - ENGINEERED? Dr. Paul Cottrell and Stefan Molyneux,592
fW1RpvRIijc,The Sudden Death of Canada's First Coronavirus Biosafety Level 4 Lab Director. Was He Assassinated?,40
gXdKeA8QfSk,Dr. Francis Boyle -  Creator Of US Bioweapons Act Says Coronavirus Is A Biological Warfare Weapon,156
g_At56li2uQ,BioWeapon ALERT! - The REALITY of Coronavirus MSM Won't Tell You About!!,631
hDhqltWQWbA,CORONAVIRUSUPDATE TRUTH 1.5 Million infected over 50 000 Cremated already says whistle blower #WUHAN,74
hPdGfibyOZ0,BREAKING:  SOURCE OF CORONAVIRUS REVEALED?,155
hp9oEZSKA_8,Scientists Discover HIV Like Mutation in Coronavirus  Makes it 100-1000 Times More Contagious!,31
iEgZQgP9SMs,DNA Frequency Bioweapon Links Targeted Individuals to Artificial Intelligence Hive Mind Control Grid,98
k3fTjAOMX1Q,Mind Virus Frequency  Bioweapon used to Modify and Control the Human Race,23
lYCk6fEzlwA,CORONA FLU JAB 5G POLICE AND PUBLIC SECTOR DEATH SENTENCE,88
mx8xKcQMTRs,Did Bill Gates & World Economic Forum Predict Coronavirus Outbreak? An Inside Look May Shock You!,548
ntlpZAJ3wwI,Alexa Says Government Released Coronavirus And Lost Control After Event 201 WTAF On Earth?? Covid-19,31
p0DDXsPKGHw,Nearly 10k Military Personnel From 110 Nations In Wuhan China Weeks Before Coronavirus Outbreak!,272
pzTpFo6L6tU,BREAKING: WUHAN SUPER VIRUS PREPARES TO OUTBREAK IN AMERICA - U.S. GOVERNMENT PREPARES FULL LOCKDOWN,60
q4idy-1688o,WHAT ARE WE NOT BEING TOLD,366
qfOmkXUdx-Q,Billie Eilish's Satanic Coronavirus Song  (2018),38
qvY6ct_Kr3s,Are Deep State Satanists being Arrested under Cover of Defender Europe 20 Exercises?,75
rFRxofomw5k,Coronavirus And MARTIAL LAW - They're Going For It Folks!! PFT Live with Dan Dicks,283
ro47BMjKVp0,Coronavirus - It Is All Planned,88
sQnVA_pxonM,The Forensic Nurse Corona virus  bioweapon update,249
tAEp_Mr3aoo,Wei fenghe's Warning Coming True,286
tagPh4JrfoM,Expert Dr. Boyle  Author Of US Bioweapons Act  Says Coronavirus A Bioweapon & WHO Knows it,87
urOhBfH1JfE,Scientific Proofs that Wuhan Coronavirus Is China’s Bioweapon. By Chapman Chen  HKBNews,94
uuPiJoYxMN0,HIV-Like Mutation In Coronavirus Discovered As Israel Suddenly Announces Vaccine,170
vYAu1XMHsOY,Pestilence  Iran Joins China in Call for Investigation of US Spread of Coronavirus,104
w8NcWV8XUBA,CORONAVIRUS OUTBREAK PSYCHIC READING | UPDATE  MAN-MADE  WORLD DOMINATION [LAMARR TOWNSEND TAROT],23
wAE6Y7SgyjE,Recent Coronavirus Declared Bioweapon By The Author Of The US Biological Weapons Act,66
wm35gVK8Bx0,RED ALERT !!!   MISTAKENLY MISDIAGNOSED!!!!,620
xDhIAX0_SaM,Its Love a Satanic Pedophile Day!,60
xNq8w08pn9s,Coronavirus Tomfoolery - How the Virus Lie is Created,126
xfy5D9lE5Js,CDC have lied to the world,58
xvAHEzIt9NE,Multiple Nations Suggest Coronavirus Originated in America! Is This Possible?,435
yh7_u0bClmw,BREAKING: ORIGINS OF WUHAN SUPER VIRUS TRACED TO WUHAN INSTITUE OF VIROLOGY RESEARCH,47
zLESsMPAXPA,Prayer Divine Restraining Order Against the Coronavirus Dr. Francis Myles #Pray2StoptheCoronavirus,101
0QgEC1YSHTA,BREAKING: WUHAN SUPER VIRUS OUTBREAK IMMINENT IN USA - JAPAN AND SOUTH KOREA CASE NUMBERS EXPLODE,83
0XDCoutI99w,Nuovo Aggiornamento CORONAVIRUS,609
0b5vAHEmneY,[Coronavirus Special] Systematic Problems with China's Virus Research Labs - Tim Trevan,618
1SNvwumM05E,COVOD 19  17 Feb  Viral infections and update,1511
2WOU8_VyGpg,Exclusive: Hospitals discharge unrecovered coronavirus patients; Hundreds of thousands flee Wuhan,766
2WyfVnL5_AM,Miles Guo’s interview with Stephen K. Bannon on War Room: Pandemic,224
2k-2FNy_VDQ,The Truth About the Coronavirus - UPDATE!,1381
5aE0tgocuAc,TRUMP DECLARES NATIONAL EMERGENCY OVER CORONAVIRUS!! Norway  France  Iran  Events Shut Down!!!,922
5eZtCq1aj2g,Media Says 'Chinese Coronavirus' Term Is Xenophobic- Is That Why They've Used It?,295
6dDD2tHWWnU,How does Coronavirus compare to Ebola  SARS  etc? (OUTDATED),9025
7OVT3N5_4to,Is 5G the CAUSE of CORONAVIRUS? (COVID-19),4359
8EGVzWRic1I,Fox Allows Lunatic to Imply Kim Jong-Un Created Cronavirus,331
9BYaywITXYk,Coronavirus Epidemic Update 21: Antibodies  Case Fatality  Clinical Recommendations  2nd Infections?,447
ALQTdCYGISw,Professor Neil Ferguson on the current 2019-nCoV coronavirus outbreak.,615
CfBhk-9OcrU,Is the Coronavirus a Bioweapon? w/Michael Osterholm | Joe Rogan,2194
Df6c5w9PlEk,A Crisis Within A Crisis,3731
FYPZHA-UjUY,COVID-19 Mutation and Evolution,3839
GH6us7DLaRk,The Survivors - Virus Begins (1975 BBC) Did it predict 2020?,592
HbJaxNi-qxI,COVID-19 cases in Ontario ICUs far higher than official figures,600
J2IKfBKjanI,Senate hearing on novel coronavirus,31
L7v3HGj5gjA,Wuhan Coronavirus Outbreak COMPLETE TIMELINE,61
MMBh-eo3tvE,Do Re Mi - Covid 19 version,4688
NVg0HsV0ex8,Live: Latest on Wuhan's Leishenshan Hospital construction and delivery武汉雷神山医院开始逐步移交,37
PEKGgTzjaQI,President Xi Jinping meets with Bill Gates at Boao Forum,28
PNpRWPAiT3A,Experts discuss health threats and biosecurity amid coronavirus outbreak– 2/18/2020,461
QA5AbqlCHuc,COVID19 Coronavirus: What to Know & What to Do (2019-nCoV),4718
QCqC0rBKkEE,ABC News Prime: COVID-19 hospitalizations  voices of shutdown  doctors on frontlines,479
QsYuuwTcg7Q,Coronavirus Plague Warfare? | China Behind HUGE US Hack,2546
ReMCn4GsviM,Coronavirus: Is the Puzzling Silence From Officials The Calm Before The Storm?,3336
ZGFSgM3KnUQ,The Corona Virus continues to spread-26 Dead & over 900 cases-New case in US & 2 in France,42
aswAvwZeVoI,Wuhan Institute of Virology: Man-made coronavirus beyond human intelligence,1617
atljrXJ_zy8,People Intentionally Spread The Coronavirus In Iran,31
cCxPOqwCr1I,Computer predicts the end of civilisation (1973) | RetroFocus,7829
cmwYbarOqsk,China reports a sharp spike in new coronavirus cases and deaths,1249
g5usYIkrgXI,Republican Wildly Suggests Coronavirus is Chinese Biological Weapon,622
gAk7aX5hksU,You Need To Listen To This Leading COVID-19 Expert From South Korea | STAY CURIOUS #15,14578
gPwfiQgGsFo,Coronavirus Epidemic Update 10: New Studies  Transmission  Spread from Wuhan  Prevention,1152
hVvi9zH5HOs,Is Corona Fake? or a Conspiracy? - Mufti Menk,723
iT3txmbWxb4,January 30  2020: Senator Cotton Urges China Travel Ban in Wake of Coronavirus,681
j1lcAINElzY,SNP: Evidence CoV-19 Coronavirus is Man Made?,1707
jh5tXWJcNms,French nurse talks about the alarming COVID-19 situation in France,52
k0bAHsX1JKo,We can create a coronavirus vaccine: Johnson & Johnson's chief scientist,237
nMjWwvmvrJI,Coronavirus outbreak panic spreads globally,3013
o1yhjY7MN5A,Iran's coronavirus death toll jumps by 113 in a day,723
o804wu5h_ms,Coronavirus Epidemic Update 15: Underreporting  Prevention  24 Day Incubation? (COVID19),1001
o9lVJ6IlE4k,Coronavirus: How could it be stopped? – BBC Newsnight,5356
oA8XYSftmtQ,Answering The Most Important Questions About Coronavirus,114
oDogwRKcgoM,Feb 29  2020  Coronavirus: Empty US Shelves in 30 Days,36
o_cImRzKXOs,Italians record messages for themself from 10 days ago during Coronavirus #DistantiMaUniti #ConMe,1348
okg7uq_HrhQ,How Coronavirus Kills: Acute Respiratory Distress Syndrome (ARDS) & COVID-19 Treatment,4261
qJKmLTDLyws,Coronavirus | What Is Coronavirus | Symptoms Of Coronavirus,1305
rL2WN4tAnVs,COVID-19 myth busters: mga haka-haka tungkol sa novel coronavirus | NXT,154
rM0S5sc50jA,The coronavirus conspiracy: is there a cover-up in China?,664
rORMGH0jE2I,STAY THE FUCK AT HOME - COVID-19,114
rmeLI8bCkMM,Italy: Russian coronavirus response team disinfects nursing home near Bergamo,385
sQjMtdeknPE,Amir Tsarfati: Special Update: Coronavirus,1125
ulncPbTgPlo,KT The Arch Degree Break's Down The Corona-virus! (MUST SEE),1849
utw27J7Z1BQ,U.S. intelligence community says COVID-19 not man-made,247
vWJBJq-tVsc,Coronavirus Cases Doubling Overnight In Many Countries,4128
vpALWJBQq2M,COVID-19 vs. Flu,56
wfDAcuSMSZo,21 million fewer cellphone accounts in China may suggest high CCP virus death toll | China in Focus,3716
wp2HorLfShQ,US Lawyer Files $20 Trillion Suit Against China For Coronavirus,5065
yFEstB9mhKQ,Is the Coronavirus Saving Lives?,781
z05ZrMfKUDc,Coronavirus  Contagion and Complications,2146
zVksWAykl7w,11 Reasons Why The Corona Virus Is NOT A Bio Weapon,67
zd-3ZUcrTkM,Facts Tell: Here's what conspiracy theorists don't want you to know about the new coronavirus,1248
zvDzC7WNAec,Facts Tell: No  COVID-19 is not man-made,1290
